classe,precision,recall,f1,support
spectaclesIm,0.8151950718685832,0.9925,0.895152198421646,400
crabsIm,0.888663967611336,0.9145833333333333,0.9014373716632443,480
airplanesIm,0.8318385650224215,0.8918269230769231,0.8607888631090487,416
antsIm,0.8373493975903614,0.86875,0.852760736196319,480
fourIm,0.751004016064257,0.7540322580645161,0.7525150905432596,496
chairsIm,0.8442367601246106,0.7364130434782609,0.7866473149492017,368
cupsIm,0.8558823529411764,0.7275,0.7864864864864864,400
dinosaursIm,0.5941558441558441,0.6019736842105263,0.5980392156862745,304
birdsIm,0.6557377049180327,0.5952380952380952,0.62402496099844,336
dolphinsIm,0.49142857142857144,0.4479166666666667,0.46866485013623976,192
